cnpj| instituicao_financeira| conglomerado | pagina
01.023.570| BANCO RABOBANK INTERNATIONAL BRASIL S.A. |BCO RABOBANK INTL BRASIL S.A.| 1
01.181.521| BANCO COOPERATIVO SICREDI S.A. |BCO COOPERATIVO SICREDI S.A.| 1
01.522.368| BANCO BNP PARIBAS BRASIL S.A. |BNP PARIBAS | 1
01.638.542| CA INDOSUEZ WEALTH (BRAZIL) S.A. |DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS CREDIT AGRICOLE | 1
03.017.677| BANCO J. SAFRA S.A. |SAFRA | 1
03.384.738| VOTORANTIM ASSET MANAGEMENT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA |VOTORANTIM |1
04.332.281| GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A. |GOLDMAN SACHS |1
04.902.979| BANCO DA AMAZONIA S.A. |BCO DA AMAZONIA S.A. |1
07.237.373| BANCO DO NORDESTE DO BRASIL S.A. |BCO DO NORDESTE DO BRASIL S.A. | 1
07.397.614| BANCOOB DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA. |BANCOOB | 1
10.977.742| SANTANDER BRASIL ASSET MANAGEMENT DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS S.A. |SANTANDER |1
16.683.062| MERCANTIL DO BRASIL CORRETORA S.A. - CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS |MERCANTIL DO BRASIL | 1
17.364.795| MERCANTIL DO BRASIL DISTRIBUIDORA S.A. - TÍTULOS E VALORES MOBILIÁRIOS |MERCANTIL DO BRASIL | 1
28.127.603| BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO |BANESTES | 1
28.156.057| BANESTES DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S/A |BANESTES | 1
29.650.082| BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS| BTG PACTUAL | 1
30.306.294| BANCO BTG PACTUAL S.A. |BTG PACTUAL | 1
30.822.936| BB GESTÃO DE RECURSOS - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.| BB | 1
31.597.552| BANCO CLASSICO S.A. |BCO CLASSICO S.A. | 1
33.172.537| BANCO J.P. MORGAN S.A. |JP MORGAN CHASE | 1
33.311.713| ITAÚ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A. |ITAU | 1
33.479.023| BANCO CITIBANK S.A. |CITIBANK | 1
33.709.114| CITIGROUP GLOBAL MARKETS BRASIL, CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.| CITIBANK | 2
33.850.686| BRB - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA | BRB | 2
33.868.597| CITIBANK DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A |CITIBANK | 2
50.585.090| BCV - BANCO DE CRÉDITO E VAREJO S.A. |BMG | 2
58.160.789| BANCO SAFRA S.A. |SAFRA | 2
59.281.253| BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS |BTG PACTUAL | 2
60.701.190| ITAÚ UNIBANCO S.A. | ITAU | 2
60.746.948| BANCO BRADESCO S.A. | BRADESCO | 2
60.770.336| BANCO ALFA DE INVESTIMENTO S.A.| ALFA | 2
61.809.182| CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A |CREDIT SUISSE | 2
62.073.200| BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A. |BOFA MERRILL LYNCH | 2
62.232.889| BANCO DAYCOVAL S.A. |DAYCOVAL | 2
62.318.407| SANTANDER SECURITIES SERVICES BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.| SANTANDER | 2
62.331.228| DEUTSCHE BANK S.A. - BANCO ALEMAO DEUTSCHE BANK S.A.|BCO ALEMAO | 2
62.375.134| BRAM - BRADESCO ASSET MANAGEMENT S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS |BRADESCO | 2
62.418.140| INTRAG DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA. |ITAU | 2
90.400.888| BANCO SANTANDER (BRASIL) S.A. |SANTANDER | 2
92.702.067| BANCO DO ESTADO DO RIO GRANDE DO SUL S.A. |BANRISUL | 2
93.026.847| BANRISUL S/A - CORRETORA DE VALORES MOBILIARIOS E CAMBIO |BANRISUL | 2
00.066.670| BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA |BRADESCO | 2
00.360.305| CAIXA ECONOMICA FEDERAL |CAIXA ECONOMICA FEDERAL | 2
